list_name,name,label
education_level,no_formal,No formal education (Never attended school)
education_level,primary,"Primary education (e.g. Elementary school, grades 1–5/6)"
education_level,lower_secondary,"Lower secondary education (e.g. Middle school, junior high, grades 6–8/9)"
education_level,upper_secondary,"Upper secondary education (e.g. High school diploma, A-levels, GED, vocational certificate, trade school diploma)"
education_level,postsecondary_non_tertiary,"Postsecondary non-tertiary education (e.g. Community college certificate, diploma, foundation year)"
education_level,bachelor,"Bachelor's degree (e.g. BA, BSc, BEng, Bachelor's degree)"
education_level,master,"Master's degree (e.g. MA, MSc, MEng, MBA, Master's degree)"
education_level,doctorate,"Doctorate or higher (e.g. PhD, EdD, MD, JD, DPhil, professional doctorate)"
employment_status,employed_fulltime,Employed full-time
employment_status,employed_parttime,Employed part-time
employment_status,self_employed,Self-employed
employment_status,unemployed_looking,Unemployed and looking for work
employment_status,unemployed_not_looking,Unemployed and not looking for work
employment_status,retired,Retired
employment_status,student,Student
employment_status,homemaker,Homemaker or caring for family
employment_status,unable_disability,Unable to work due to disability/illness
employment_status,other,Other specify:
organisation_type,academia,Academia
organisation_type,government,Government
organisation_type,ngo,NGO
organisation_type,private_sector,Private sector
organisation_type,independent_consultant,Independent consultant
organisation_type,multilateral,Multi-lateral organisation
organisation_type,other,Other specify:
barrier_scale,not_barrier,Not a barrier
barrier_scale,barrier,A barrier
barrier_scale,dont_know,I don't know
programming_exp,none,I have none
programming_exp,few_lines,I have written a few lines
programming_exp,own_use,I have written programs for own use
programming_exp,maintained,I have written and maintained larger software
countries,AFG,Afghanistan
countries,ALB,Albania
countries,DZA,Algeria
countries,AND,Andorra
countries,AGO,Angola
countries,ATG,Antigua and Barbuda
countries,ARG,Argentina
countries,ARM,Armenia
countries,AUS,Australia
countries,AUT,Austria
countries,AZE,Azerbaijan
countries,BHS,Bahamas
countries,BHR,Bahrain
countries,BGD,Bangladesh
countries,BRB,Barbados
countries,BLR,Belarus
countries,BEL,Belgium
countries,BLZ,Belize
countries,BEN,Benin
countries,BTN,Bhutan
countries,BOL,Bolivia
countries,BIH,Bosnia and Herzegovina
countries,BWA,Botswana
countries,BRA,Brazil
countries,BRN,Brunei Darussalam
countries,BGR,Bulgaria
countries,BFA,Burkina Faso
countries,BDI,Burundi
countries,CPV,Cabo Verde
countries,KHM,Cambodia
countries,CMR,Cameroon
countries,CAN,Canada
countries,CAF,Central African Republic
countries,TCD,Chad
countries,CHL,Chile
countries,CHN,China
countries,COL,Colombia
countries,COM,Comoros
countries,COG,Congo
countries,COD,Congo Democratic Republic
countries,CRI,Costa Rica
countries,CIV,Côte d'Ivoire
countries,HRV,Croatia
countries,CUB,Cuba
countries,CYP,Cyprus
countries,CZE,Czechia
countries,DNK,Denmark
countries,DJI,Djibouti
countries,DMA,Dominica
countries,DOM,Dominican Republic
countries,ECU,Ecuador
countries,EGY,Egypt
countries,SLV,El Salvador
countries,GNQ,Equatorial Guinea
countries,ERI,Eritrea
countries,EST,Estonia
countries,SWZ,Eswatini
countries,ETH,Ethiopia
countries,FJI,Fiji
countries,FIN,Finland
countries,FRA,France
countries,GAB,Gabon
countries,GMB,Gambia
countries,GEO,Georgia
countries,DEU,Germany
countries,GHA,Ghana
countries,GRC,Greece
countries,GRD,Grenada
countries,GTM,Guatemala
countries,GIN,Guinea
countries,GNB,Guinea-Bissau
countries,GUY,Guyana
countries,HTI,Haiti
countries,HND,Honduras
countries,HUN,Hungary
countries,ISL,Iceland
countries,IND,India
countries,IDN,Indonesia
countries,IRN,Iran
countries,IRQ,Iraq
countries,IRL,Ireland
countries,ISR,Israel
countries,ITA,Italy
countries,JAM,Jamaica
countries,JPN,Japan
countries,JOR,Jordan
countries,KAZ,Kazakhstan
countries,KEN,Kenya
countries,KIR,Kiribati
countries,PRK,Korea Democratic People's Republic
countries,KOR,Korea Republic of
countries,KWT,Kuwait
countries,KGZ,Kyrgyzstan
countries,LAO,Lao People's Democratic Republic
countries,LVA,Latvia
countries,LBN,Lebanon
countries,LSO,Lesotho
countries,LBR,Liberia
countries,LBY,Libya
countries,LIE,Liechtenstein
countries,LTU,Lithuania
countries,LUX,Luxembourg
countries,MDG,Madagascar
countries,MWI,Malawi
countries,MYS,Malaysia
countries,MDV,Maldives
countries,MLI,Mali
countries,MLT,Malta
countries,MHL,Marshall Islands
countries,MRT,Mauritania
countries,MUS,Mauritius
countries,MEX,Mexico
countries,FSM,Micronesia
countries,MDA,Moldova
countries,MCO,Monaco
countries,MNG,Mongolia
countries,MNE,Montenegro
countries,MAR,Morocco
countries,MOZ,Mozambique
countries,MMR,Myanmar
countries,NAM,Namibia
countries,NRU,Nauru
countries,NPL,Nepal
countries,NLD,Netherlands
countries,NZL,New Zealand
countries,NIC,Nicaragua
countries,NER,Niger
countries,NGA,Nigeria
countries,MKD,North Macedonia
countries,NOR,Norway
countries,OMN,Oman
countries,PAK,Pakistan
countries,PLW,Palau
countries,PSE,Palestine
countries,PAN,Panama
countries,PNG,Papua New Guinea
countries,PRY,Paraguay
countries,PER,Peru
countries,PHL,Philippines
countries,POL,Poland
countries,PRT,Portugal
countries,QAT,Qatar
countries,ROU,Romania
countries,RUS,Russian Federation
countries,RWA,Rwanda
countries,KNA,Saint Kitts and Nevis
countries,LCA,Saint Lucia
countries,VCT,Saint Vincent and the Grenadines
countries,WSM,Samoa
countries,SMR,San Marino
countries,STP,Sao Tome and Principe
countries,SAU,Saudi Arabia
countries,SEN,Senegal
countries,SRB,Serbia
countries,SYC,Seychelles
countries,SLE,Sierra Leone
countries,SGP,Singapore
countries,SVK,Slovakia
countries,SVN,Slovenia
countries,SLB,Solomon Islands
countries,SOM,Somalia
countries,ZAF,South Africa
countries,SSD,South Sudan
countries,ESP,Spain
countries,LKA,Sri Lanka
countries,SDN,Sudan
countries,SUR,Suriname
countries,SWE,Sweden
countries,CHE,Switzerland
countries,SYR,Syrian Arab Republic
countries,TWN,Taiwan
countries,TJK,Tajikistan
countries,TZA,Tanzania
countries,THA,Thailand
countries,TLS,Timor-Leste
countries,TGO,Togo
countries,TON,Tonga
countries,TTO,Trinidad and Tobago
countries,TUN,Tunisia
countries,TUR,Turkey
countries,TKM,Turkmenistan
countries,TUV,Tuvalu
countries,UGA,Uganda
countries,UKR,Ukraine
countries,ARE,United Arab Emirates
countries,GBR,United Kingdom
countries,USA,United States
countries,URY,Uruguay
countries,UZB,Uzbekistan
countries,VUT,Vanuatu
countries,VAT,Vatican City
countries,VEN,Venezuela
countries,VNM,Viet Nam
countries,YEM,Yemen
countries,ZMB,Zambia
countries,ZWE,Zimbabwe
prog_languages,java,Java
prog_languages,javascript,JavaScript
prog_languages,cpp,C++
prog_languages,c,C
prog_languages,csharp,C#
prog_languages,dart,Dart (Flutter)
prog_languages,go,Go (Golang)
prog_languages,rust,Rust
prog_languages,swift,Swift
prog_languages,typescript,TypeScript
prog_languages,haskell,Haskell
prog_languages,ruby,Ruby
prog_languages,bash,Bash
prog_languages,julia,Julia
prog_languages,css,CSS
prog_languages,sql,SQL
prog_languages,sas,SAS
prog_languages,matlab,Matlab
prog_languages,stata,STATA
prog_languages,spss,SPSS
prog_languages,nvivo,NVivo
prog_languages,maxqda,MAXQDA
prog_languages,none,None of the above
git_exp,never,Never used Git
git_exp,occasional,Used occasionally for basic tasks
git_exp,regular,Used regularly for own projects
git_exp,extensive,Used extensively for collaborative development
github_exp,never,Never used GitHub
github_exp,viewed,Occasionally viewed/downloaded repositories
github_exp,managed,Regularly managed own repositories
github_exp,collab,Extensively used for collaborative development
data_storage,paper,Physical notebooks on paper
data_storage,spreadsheet,"Spreadsheet-based format (Excel, Google Sheets)"
data_storage,machine_readable,"Machine-readable files (CSV, JSON)"
data_storage,database,Relational database
data_storage,dont_know,Don't know
data_storage,no_data,No data to store
doc_writing,word_no_code,"Word processors (e.g., MS Word, Google Docs) without code"
doc_writing,word_copy_paste,"Word processors (e.g., MS Word, Google Docs) with copy/paste code output"
doc_writing,latex_copy_paste,LaTeX with copy/paste code output
doc_writing,literate_prog,"Literate programming notebooks (e.g., R Markdown, Quarto, Jupyter)"
ide_list,rstudio,RStudio
ide_list,positron,Positron
ide_list,vscode,Visual Studio Code (VS Code)
ide_list,pycharm,PyCharm
ide_list,jupyterlab,JupyterLab
ide_list,jupyter_notebook,Jupyter Notebook
ide_list,atom,Atom
ide_list,sublime,Sublime Text
ide_list,matlab_ide,MATLAB IDE
ide_list,emacs,Emacs
ide_list,vim,Vim
ide_list,none,None of the above
ide_exp,never,I have never used an IDE.
ide_exp,occasional,I have occasionally used an IDE for basic code editing or running scripts.
ide_exp,regular,"I regularly use an IDE for my own projects, taking advantage of features like code completion, debugging, or version control integration."
ide_exp,extensive,"I use IDEs extensively for collaborative development, customizing environments, using advanced features (e.g., remote development, extensions/plugins), and optimizing workflow."
cli_exp,never,"I have never used the command-line interface (Terminal on Mac, Windows Terminal on Windows)."
cli_exp,occasional,"I have used the CLI occasionally for basic tasks (e.g. navigating folders, running simple commands)."
cli_exp,regular,"I use the CLI regularly for my own projects, including scripting and automating tasks."
cli_exp,extensive,"I use the CLI extensively for advanced workflows, system administration, or integrating with other tools (e.g. SSH, environment management, custom scripts)."
llm_tools,chatgpt,ChatGPT (OpenAI)
llm_tools,claude,Claude (Anthropic)
llm_tools,claude_code,Claude Code (Anthropic)
llm_tools,gemini,"Gemini (Google, formerly Bard)"
llm_tools,notebooklm,NotebookLM (Google)
llm_tools,copilot_ide,Copilot for IDEs
llm_tools,copilot_365,Copilot for Microsoft 365
llm_tools,perplexity,Perplexity AI
llm_tools,llama,Llama (Meta)
llm_tools,mistral,Mistral AI
llm_tools,pi,Pi
llm_tools,deepseek,DeepSeek
llm_tools,bedrock,Amazon Bedrock
llm_tools,grok,xAI (Grok)
llm_tools,replit,Replit AI
llm_tools,phind,Phind
llm_tools,tabnine,Tabnine
llm_tools,codeium,Codeium
llm_tools,starcoder,Starcoder
llm_tools,duet,Google Duet AI
llm_tools,notion,Notion AI
llm_tools,jasper,Jasper
llm_tools,cline,Cline
llm_tools,cursor,Cursor AI
llm_tools,magic,Magic AI
llm_tools,zoom,Zoom AI Companion
llm_tools,elicit,Elicit
llm_tools,research_rabbit,Research Rabbit
llm_tools,semantic_scholar,Semantic Scholar AI
llm_tools,scisummary,SciSummary
llm_tools,paperpal,Paperpal
llm_tools,consensus,Consensus
llm_tools,scite,Scite Assistant
llm_tools,scispace,Scispace Literature Review Tools
llm_freq,never,I have not used any LLMs.
llm_freq,occasional,I use LLMs occasionally when needed (e.g once a week).
